m_fr_sum,fr_sum,log_fr_sum,serial_num,vp_exp_dummy,num_comp_exp,product_num,log_num_news,num_news,inv_num,cs_dummy,biz_dummy,master_dummy,age
21.05,21050000,7,2,1,11,5,1.1760912591,15,8,1,0,0,25
11.9,11900000,7,1,0,1,5,0.7781512504,6,0,0,0,0,25
11.9,11900000,7,1,0,1,5,0.7781512504,6,0,0,0,0,25
0.315,315000,5,1,0,5,2,0.6989700043,5,0,1,0,0,25
0.315,315000,5,1,0,3,2,0.6989700043,5,0,1,0,1,25
144.760181,144760181,8,2,0,7,1,1.079181246,12,0,0,0,0,25
0,0,0,1,0,4,0,0,0,0,0,0,0,25
2.5,2500000,6,1,0,3,0,0.3010299957,2,4,0,1,1,36
0,0,0,1,0,1,1,0.3010299957,2,0,1,0,0,25
0,0,0,1,0,1,1,0.3010299957,2,0,0,0,0,25
0,0,0,1,0,2,1,0.3010299957,2,0,1,0,1,25
25,25000000,7,1,0,1,1,1.278753601,19,0,0,0,0,54
25,25000000,7,1,0,1,1,1.278753601,19,0,0,0,0,25
0,0,0,1,0,1,1,0,1,0,0,0,0,25
0,0,0,1,0,1,1,0,1,0,0,0,0,25
1.5,1500000,6,2,1,15,2,1.1461280357,14,0,0,0,0,25
1.2,1200000,6,3,1,10,0,0,1,1,0,0,0,25
36,36000000,8,1,0,1,1,1.1461280357,14,0,0,0,1,52
